engine_id,cycle,op_setting_1,op_setting_2,op_setting_3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,RUL
1,30,-0.0022,0.0,100.0,518.67,642.2,1593.52,1396.08,14.62,21.61,554.37,2388.07,9045.62,1.3,47.4,522.19,2388.0,8137.86,8.4065,0.03,390,2388,100.0,39.05,23.411,162
1,40,-0.0,-0.0004,100.0,518.67,642.24,1582.08,1401.77,14.62,21.61,554.57,2388.06,9052.98,1.3,47.33,521.84,2388.01,8131.03,8.3784,0.03,392,2388,100.0,38.84,23.3769,152
1,50,-0.0032,-0.0001,100.0,518.67,642.77,1588.49,1403.62,14.62,21.61,553.92,2388.06,9048.6,1.3,47.47,522.33,2388.09,8127.3,8.4116,0.03,392,2388,100.0,38.85,23.4106,142
1,60,-0.001,-0.0002,100.0,518.67,642.34,1582.75,1403.07,14.62,21.61,554.0,2388.06,9051.69,1.3,47.41,522.49,2388.03,8132.89,8.3878,0.03,393,2388,100.0,38.89,23.387,132
1,70,-0.0005,0.0002,100.0,518.67,642.22,1584.02,1402.78,14.62,21.61,554.01,2388.11,9053.43,1.3,47.41,521.93,2388.12,8130.36,8.4279,0.03,392,2388,100.0,38.86,23.4513,122
2,30,0.0012,0.0,100.0,518.67,641.78,1590.32,1395.07,14.62,21.61,554.62,2387.98,9050.8,1.3,47.2,522.43,2388.0,8136.63,8.419,0.03,391,2388,100.0,39.1,23.3985,257
2,40,0.0005,0.0005,100.0,518.67,642.02,1582.69,1398.38,14.62,21.61,554.07,2388.03,9046.96,1.3,47.22,522.3,2388.01,8137.16,8.401,0.03,391,2388,100.0,38.84,23.4402,247
2,50,-0.0002,-0.0004,100.0,518.67,642.02,1577.86,1399.78,14.62,21.61,554.73,2388.0,9051.65,1.3,47.16,522.16,2388.05,8138.46,8.4042,0.03,391,2388,100.0,39.1,23.353,237
2,60,0.0014,-0.0002,100.0,518.67,642.09,1584.57,1396.84,14.62,21.61,554.06,2388.04,9057.57,1.3,47.12,521.93,2388.02,8141.27,8.4003,0.03,393,2388,100.0,39.11,23.3928,227
2,70,0.0005,-0.0002,100.0,518.67,641.76,1593.24,1397.3,14.62,21.61,554.47,2388.05,9049.78,1.3,47.26,522.17,2387.98,8134.06,8.4118,0.03,392,2388,100.0,39.06,23.3894,217
3,30,0.0012,0.0004,100.0,518.67,642.21,1584.95,1398.1,14.62,21.61,554.05,2388.01,9051.75,1.3,47.23,522.35,2388.04,8140.32,8.3927,0.03,392,2388,100.0,39.01,23.3824,149
3,40,-0.0038,0.0001,100.0,518.67,641.97,1579.38,1403.24,14.62,21.61,553.75,2388.03,9056.52,1.3,47.09,521.84,2388.05,8131.57,8.3987,0.03,392,2388,100.0,39.09,23.4079,139
3,50,0.0012,-0.0004,100.0,518.67,642.51,1586.16,1402.64,14.62,21.61,553.87,2388.03,9056.79,1.3,47.27,522.07,2388.03,8140.55,8.4054,0.03,391,2388,100.0,39.02,23.4013,129
3,60,0.0011,0.0003,100.0,518.67,641.8,1586.82,1405.66,14.62,21.61,553.34,2388.05,9051.65,1.3,47.47,522.23,2388.05,8136.68,8.4616,0.03,394,2388,100.0,38.94,23.2905,119
