Amtrak Product,Service Class,Total Fare Amount,Mileage,Departure Performance (Minutes Late),Arrival Performance (Minutes Late),Overall Trip Satisfaction,Boarding Station Overall,On-time Performance of the Train,Communication About Train Status,Cleanliness of the Train,Comfort of Train Ride,Food and Beverage on the Train,Wi-Fi on the Train,Friendliness of Amtrak Personnel at the Boarding Station,Friendliness of Amtrak Personnel on the Train,Age Range
Acela,Business Class,50,75,0,-7,,,,,,,,,,,
Acela,Business Class,155,226,0,0,10,10,10,10,10,10,N/A,N/A,10,10,35 to 44
Acela,Business Class,122,188,1,-5,9,10,9,10,9,8,N/A,10,10,10,35 to 44
Acela,Business Class,185,225,0,5,8,8,10,9,10,10,N/A,4,10,9,35 to 44
Acela,Business Class,117,91,0,-3,7,1,8,8,8,8,N/A,N/A,4,4,75 or older
Acela,Business Class,71,215,0,-1,,,,,,,,,,,
Acela,Business Class,66,185,1,-7,8,8,8,8,8,8,N/A,N/A,8,8,35 to 44
Acela,Business Class,127,220,0,-9,,,,,,,,,,,
Acela,Business Class,66,202,2,2,10,10,10,10,10,10,N/A,8,10,10,55 to 64
Acela,Business Class,75,231,0,-3,,,,,,,,,,,
Acela,First Class,357,300,1,1,10,10,10,10,8,10,10,10,10,10,65 to 74
Acela,Business Class,107,0,0,1,10,10,10,10,10,10,N/A,10,10,10,45 to 54
Acela,Business Class,71,225,0,0,,,,,,,,,,,
Acela,Business Class,58,220,2,-4,9,10,10,10,7,9,N/A,9,10,10,65 to 74
Acela,Business Class,150,322,1,-3,10,10,10,10,10,10,10,10,10,10,35 to 44
Acela,Business Class,71,225,0,-2,10,10,10,10,10,9,N/A,N/A,10,10,35 to 44
Acela,Business Class,110.7,196,9,9,,,,,,,,,,,
Acela,Business Class,106,104,0,0,,,,,,,,,,,
Acela,First Class,193.2,231,2,-4,10,2,2,8,10,8,5,10,8,10,75 or older
Acela,Business Class,67.5,255,3,-4,8,8,9,9,9,9,N/A,9,9,9,75 or older
Acela,Business Class,58,232,0,1,,,,,,,,,,,
Acela,Business Class,71,225,17,14,,,,,,,,,,,
Acela,Business Class,56,188,0,-5,9,8,10,6,9,9,N/A,6,7,9,25 to 34
Acela,Business Class,85,195,0,-3,,,,,,,,,,,
Acela,Business Class,22,30,0,-1,9,7,10,10,10,8,N/A,N/A,8,8,35 to 44
Acela,Business Class,122,188,5,-1,10,10,10,10,10,10,8,10,10,10,45 to 54
Acela,Business Class,45,134,0,0,10,10,10,10,10,8,N/A,10,N/A,10,65 to 74
Acela,Business Class,211,185,0,-3,10,9,10,10,10,10,N/A,9,10,10,18 to 24
Acela,Business Class,74,456,0,-1,,,,,,,,,,,
Acela,Business Class,23,40,0,-1,10,10,10,10,10,10,10,10,10,10,55 to 64
Acela,Business Class,91,225,0,2,10,10,9,9,9,8,N/A,N/A,9,10,55 to 64
Acela,Business Class,70.2,116,2,-2,,,,,,,,,,,
Acela,Business Class,91,215,1,2,10,4,10,10,10,10,N/A,10,10,10,45 to 54
Acela,Business Class,185,225,0,5,,,,,,,,,,,
Acela,Business Class,91,225,0,-3,,,,,,,,,,,
Acela,Business Class,67.5,231,0,-7,,,,,,,,,,,
Acela,Business Class,71,225,1,1,,,,,,,,,,,
Acela,Business Class,136.8,232,0,-4,,,,,,,,,,,
Acela,Business Class,127,232,0,4,10,10,10,10,10,10,10,10,10,10,35 to 44
Acela,Business Class,303,225,17,14,,,,,,,,,,,
Acela,Business Class,113,195,0,-3,,,,,,,,,,,
Acela,Business Class,109.8,188,2,-4,,,,,,,,,,,
Acela,Business Class,85,195,0,-3,,,,,,,,,,,
Acela,Business Class,69,323,0,-1,9,9,10,10,8,9,8,7,10,10,25 to 34
Acela,Business Class,136.8,220,2,-4,10,10,10,10,7,8,7,N/A,10,10,65 to 74
Acela,Business Class,58,231,4,0,,,,,,,,,,,
Acela,Business Class,71,225,0,-1,10,10,10,10,10,10,N/A,10,10,10,75 or older
Acela,Business Class,58,220,2,1,,,,,,,,,,,
Acela,Business Class,78,115,4,-2,,,,,,,,,,,
Acela,Business Class,123,184,9,6,,,,,,,,,,,
Acela,Business Class,166.5,225,0,-4,10,10,10,N/A,10,9,9,9,10,10,75 or older
Acela,Business Class,58,232,0,-4,7,10,6,5,9,9,10,9,10,10,65 to 74
Acela,Business Class,226,225,0,-2,,,,,,,,,,,
Acela,Business Class,71,225,17,14,,,,,,,,,,,
Acela,Business Class,75,231,1,-5,10,9,10,10,9,10,9,8,10,10,35 to 44
Acela,Business Class,59.4,185,0,-4,,,,,,,,,,,
Acela,Business Class,40.5,116,2,-2,,,,,,,,,,,
Acela,Business Class,91,225,17,14,,,,,,,,,,,
Acela,Business Class,75,232,0,-1,9,10,10,10,10,10,9,10,10,10,35 to 44
Acela,Business Class,80,162,2,-3,10,10,10,10,9,10,N/A,9,10,10,55 to 64
Acela,Business Class,75,220,2,-4,,,,,,,,,,,
Acela,Business Class,58,220,2,0,6,7,8,9,5,3,N/A,7,6,6,65 to 74
Acela,Business Class,45,115,4,-2,,,,,,,,,,,
Acela,Business Class,226,225,0,-4,,,,,,,,,,,
Acela,Business Class,139.5,261,0,6,,,,,,,,,,,
Acela,First Class,219,188,0,-6,5,8,10,9,8,2,5,8,8,8,75 or older
Acela,Business Class,186,232,0,0,,,,,,,,,,,
Acela,Business Class,71,226,4,0,,,,,,,,,,,
Acela,First Class,243,225,0,-4,9,9,10,10,10,7,9,8,10,10,65 to 74
Acela,Business Class,127,220,3,0,,,,,,,,,,,
Acela,Business Class,40.5,91,0,-3,,,,,,,,,,,
Acela,Business Class,263,225,17,14,,,,,,,,,,,
Acela,Business Class,58,232,0,-4,10,10,10,10,10,10,N/A,10,10,10,65 to 74
Acela,Business Class,76,91,0,-4,10,10,10,10,10,10,10,10,10,10,45 to 54
Acela,Business Class,127,232,0,4,7,3,8,5,3,1,N/A,8,4,4,45 to 54
Acela,Business Class,114,201,0,2,,,,,,,,,,,
Acela,Business Class,23,25,3,4,10,10,10,10,10,10,N/A,5,8,10,45 to 54
Acela,Business Class,135,323,0,-4,,,,,,,,,,,
Acela,Business Class,50,134,0,0,9,6,9,9,9,9,N/A,N/A,9,9,55 to 64
Acela,Business Class,99,134,17,22,,,,,,,,,,,
Acela,Business Class,144,75,1,1,10,10,10,10,10,10,9,9,10,10,65 to 74
Acela,Business Class,226,225,17,14,,,,,,,,,,,
Acela,Business Class,155,215,1,-3,,,,,,,,,,,
Acela,Business Class,91,226,4,0,10,10,9,8,10,10,N/A,N/A,5,10,55 to 64
Acela,Business Class,186,232,0,-1,,,,,,,,,,,
Acela,First Class,372,185,1,-3,9,9,7,10,9,9,7,5,10,10,45 to 54
Acela,Business Class,142,91,0,-3,10,10,10,10,10,10,N/A,N/A,10,10,45 to 54
Acela,Business Class,146,188,0,-6,,,,,,,,,,,
Acela,Business Class,127,232,0,9,10,10,10,10,8,8,N/A,10,8,8,Prefer not to answer
Acela,Business Class,152,242,0,5,,,,,,,,,,,
Acela,Business Class,99,115,4,-2,9,5,8,8,10,10,N/A,10,5,10,55 to 64
Acela,First Class,268,232,0,-1,10,10,10,9,9,10,10,N/A,10,10,65 to 74
Acela,Business Class,75,232,0,-7,10,9,10,10,10,10,N/A,9,10,10,35 to 44
Acela,Business Class,91,225,0,-4,,,,,,,,,,,
Acela,Business Class,66,201,0,-1,9,9,10,10,10,10,10,10,10,10,55 to 64
