Region,Customer Segment,Age Range,Season,Distance (Miles),Staffing Level (Proxy),Track Congestion (Proxy),Total Fare Amount,Communication About Status,Cleanliness,Comfort,Wi-Fi,Food & Beverage,Departure Delay (Minutes),Arrival Delay (Minutes),On-time Performance,Overall Satisfaction
West,Leisure,55-64,Summer,459.6,0.718,0.201,156.5,3.15,3.77,3.3,3.64,1.0,48.3,57.4,2.6,5.0
Midwest,Business,55-64,Fall,259.5,0.561,0.289,126.29,4.0,4.83,4.33,3.79,2.76,23.4,28.0,3.64,5.0
West,Business,25-34,Summer,538.8,0.672,0.164,160.14,4.8,2.69,3.63,3.13,2.65,34.1,44.2,3.0,5.0
Southwest,Leisure,18-24,Winter,260.6,0.453,0.221,108.51,3.12,3.12,5.0,2.7,3.63,49.9,53.9,2.59,5.0
Northeast,Leisure,25-34,Spring,161.9,0.641,0.359,75.28,,4.31,3.6,3.39,1.21,9.1,22.0,3.95,5.0
West,Leisure,25-34,Fall,246.9,0.253,0.776,92.11,1.93,4.13,4.23,2.84,2.36,54.8,58.8,2.12,4.96
West,Business,35-44,Winter,123.5,0.99,0.81,88.15,4.71,5.0,3.36,2.6,2.67,36.3,37.4,3.54,5.0
West,Business,65+,Spring,127.8,0.542,0.621,74.97,3.85,2.52,3.45,3.5,3.47,43.2,48.7,2.69,5.0
Northeast,Business,25-34,Summer,198.2,0.227,0.416,89.48,3.79,4.23,3.54,,3.04,36.4,42.2,2.99,5.0
Midwest,Leisure,25-34,Summer,181.2,0.722,0.639,66.64,2.71,3.21,3.96,,,63.4,67.4,1.63,5.0
Southeast,Leisure,55-64,Fall,452.4,0.532,0.672,132.82,3.73,4.12,3.14,2.74,2.8,47.9,53.5,2.6,4.9
West,Business,35-44,Summer,196.7,0.2,0.581,85.17,3.72,3.66,3.16,2.97,2.34,47.7,46.4,2.94,5.0
Southwest,Leisure,18-24,Winter,112.0,0.332,0.683,72.96,,4.28,3.66,1.95,3.48,40.1,42.1,3.29,5.0
West,Business,25-34,Winter,220.2,0.2,0.566,106.67,2.49,3.56,3.84,2.54,2.82,83.0,86.7,1.04,4.41
Midwest,Leisure,65+,Summer,259.1,0.902,0.443,109.86,4.39,4.66,3.75,3.92,4.75,9.1,12.3,4.49,5.0
Southeast,Leisure,25-34,Fall,234.4,0.895,0.266,85.11,4.4,3.55,3.64,3.04,2.58,10.4,18.3,4.33,5.0
Midwest,Business,45-54,Summer,108.3,0.709,0.0,86.02,4.37,3.91,2.78,2.74,2.63,26.4,32.3,3.75,5.0
Northeast,Business,55-64,Summer,480.3,0.57,0.509,154.2,3.01,4.0,4.02,4.14,2.64,50.4,64.6,2.15,5.0
West,Business,25-34,Winter,60.6,0.4,0.08,65.03,3.45,4.81,4.21,3.53,2.91,21.5,18.6,4.11,5.0
Southwest,Leisure,55-64,Winter,232.3,1.0,0.04,93.13,4.68,4.6,4.47,4.05,,9.5,18.3,4.36,5.0
West,Commuter,25-34,Fall,105.9,0.795,0.599,73.23,4.58,4.12,3.84,2.73,2.76,25.7,20.2,4.27,5.0
Southeast,Commuter,25-34,Summer,389.1,0.496,0.467,139.03,,4.23,3.23,3.02,2.74,35.8,43.4,2.79,5.0
West,Commuter,25-34,Summer,282.2,0.747,0.623,119.86,4.74,4.63,3.5,3.33,3.47,25.7,34.8,3.49,5.0
West,Business,65+,Fall,259.1,0.483,0.48,96.83,3.68,4.07,3.75,3.43,2.24,42.9,44.0,3.17,5.0
West,Business,25-34,Winter,187.6,0.584,0.136,93.06,4.35,3.28,3.66,5.0,3.68,3.8,2.2,5.0,5.0
Northeast,Business,25-34,Fall,456.6,0.993,0.774,130.37,4.12,4.47,3.21,3.49,2.86,64.8,73.7,1.64,5.0
Midwest,Leisure,65+,Spring,187.3,0.277,0.62,91.53,3.58,3.72,2.41,4.02,2.24,63.4,73.7,1.61,5.0
Northeast,Leisure,25-34,Summer,565.8,0.847,0.166,171.28,4.77,3.81,3.37,,1.51,22.3,40.4,3.39,5.0
Northeast,Business,65+,Spring,125.3,0.504,0.187,70.95,3.52,3.38,3.46,4.66,2.11,0.0,7.2,4.71,5.0
Southwest,Leisure,45-54,Winter,221.1,0.571,0.633,79.39,3.63,4.23,3.89,3.39,2.93,66.3,66.8,1.97,5.0
Southwest,Leisure,45-54,Fall,333.8,0.559,0.439,118.23,4.57,4.19,3.38,4.2,3.03,15.1,21.8,4.0,5.0
West,Commuter,55-64,Spring,293.5,0.817,0.419,125.06,4.68,3.44,3.57,3.49,2.91,39.3,54.2,2.56,5.0
Southeast,Leisure,55-64,Winter,210.7,0.954,0.213,105.17,3.54,3.41,3.86,3.43,1.86,32.3,40.1,3.17,5.0
Southeast,Business,25-34,Winter,66.8,0.788,0.061,51.72,4.48,5.0,4.83,4.08,2.97,6.7,1.8,5.0,5.0
Midwest,Business,65+,Fall,241.8,0.415,0.173,113.09,3.08,4.32,3.51,3.96,1.69,51.5,59.6,2.39,5.0
Northeast,Leisure,65+,Fall,173.5,0.426,0.977,90.3,3.58,3.86,2.54,3.58,1.94,64.0,64.5,2.15,5.0
Northeast,Commuter,65+,Summer,148.4,0.556,0.251,94.14,3.12,4.24,3.19,3.16,4.09,48.6,50.4,2.7,5.0
Midwest,Leisure,45-54,Fall,345.1,1.0,0.0,124.24,4.84,3.82,5.0,3.11,3.08,0.0,9.9,4.64,5.0
Southeast,Commuter,45-54,Summer,56.7,0.519,0.942,55.57,3.79,3.76,4.66,,3.48,45.9,45.6,2.81,5.0
Southwest,Business,45-54,Fall,215.4,0.969,0.162,105.44,3.91,4.1,4.45,3.6,4.45,25.7,28.0,3.77,5.0
Midwest,Leisure,18-24,Winter,26.3,0.452,0.499,23.58,4.7,4.4,4.13,3.42,3.01,13.4,18.3,3.93,5.0
West,Leisure,35-44,Winter,294.9,0.907,0.064,98.86,3.2,3.21,4.27,4.12,4.02,28.2,37.2,3.29,5.0
Southwest,Leisure,45-54,Summer,347.2,0.233,1.0,110.88,3.34,3.1,3.4,1.93,3.37,70.8,79.1,1.36,4.33
Southeast,Leisure,45-54,Fall,239.8,0.491,0.329,81.31,2.41,3.11,4.25,3.35,,34.9,48.1,2.83,5.0
West,Leisure,35-44,Summer,163.3,0.888,0.0,64.65,4.38,4.56,4.4,3.29,3.02,22.0,26.1,3.76,5.0
West,Commuter,35-44,Fall,452.8,0.472,0.457,141.39,3.62,3.78,4.23,3.2,,51.3,61.7,2.3,5.0
Southeast,Leisure,45-54,Spring,470.2,0.2,0.978,129.14,3.77,3.15,3.14,4.08,3.56,71.1,79.3,1.33,5.0
Southeast,Commuter,35-44,Summer,267.0,0.397,0.416,94.15,3.43,3.67,3.39,4.24,3.95,49.3,50.8,2.85,5.0
Southwest,Leisure,65+,Summer,510.3,0.2,0.461,145.85,2.97,3.32,3.11,3.95,1.78,66.2,70.7,2.05,5.0
Northeast,Commuter,55-64,Fall,125.2,0.214,0.656,62.68,3.39,2.85,4.26,3.19,2.22,58.1,64.0,1.96,5.0
Northeast,Leisure,18-24,Summer,202.8,0.61,0.253,84.23,4.73,4.66,3.9,3.17,,18.2,20.5,4.17,5.0
Northeast,Leisure,18-24,Spring,37.3,0.871,0.18,51.44,5.0,3.95,4.04,,2.41,0.0,11.1,4.46,5.0
West,Business,45-54,Winter,100.8,0.329,0.698,54.55,,4.53,4.0,4.53,2.82,63.8,62.3,2.34,5.0
Southwest,Leisure,35-44,Spring,94.7,0.532,0.418,63.29,3.78,3.0,2.67,4.55,3.4,13.6,12.4,4.28,5.0
Southwest,Commuter,55-64,Winter,293.8,0.894,0.539,113.72,2.85,4.35,4.39,3.8,4.31,30.1,37.3,3.5,5.0
West,Leisure,25-34,Winter,105.7,1.0,0.125,74.73,3.72,3.23,3.42,,2.71,6.8,4.8,4.73,5.0
Midwest,Business,18-24,Summer,53.9,0.341,1.0,49.2,3.07,5.0,3.29,3.69,2.54,43.1,38.2,3.25,5.0
Midwest,Business,35-44,Winter,141.0,0.756,0.373,73.53,4.4,2.94,3.14,,3.46,39.0,44.5,2.96,5.0
Northeast,Business,55-64,Spring,152.7,0.713,0.727,97.15,3.73,5.0,3.77,2.99,3.07,32.7,27.1,3.61,5.0
Northeast,Leisure,65+,Winter,87.5,0.463,0.0,46.03,4.01,3.82,3.59,,1.66,0.0,2.6,5.0,5.0
Southwest,Leisure,65+,Winter,228.9,0.263,0.297,93.47,3.43,3.62,2.61,5.0,,36.3,41.7,3.03,5.0
Midwest,Leisure,35-44,Summer,254.3,0.2,0.049,84.27,3.08,4.05,2.31,2.85,2.69,30.7,39.5,3.3,5.0
Midwest,Leisure,55-64,Winter,72.6,0.5,0.715,55.23,2.27,3.29,3.51,3.91,3.77,56.5,59.9,2.27,5.0
West,Leisure,18-24,Spring,320.4,0.703,0.288,106.34,4.15,4.42,4.28,2.94,4.11,0.0,17.6,4.18,5.0
Southwest,Commuter,45-54,Winter,119.4,0.626,0.136,76.71,3.81,4.43,4.19,3.24,,28.4,29.3,3.83,5.0
Midwest,Business,65+,Winter,151.2,1.0,0.052,74.15,4.7,4.11,4.5,2.76,2.47,10.2,7.9,4.42,5.0
Midwest,Business,35-44,Winter,283.5,0.926,0.519,100.15,4.01,4.21,3.64,2.68,3.93,27.1,43.8,2.68,5.0
Southeast,Leisure,65+,Winter,152.1,0.308,0.598,91.63,3.63,4.91,3.34,3.66,2.61,38.6,42.1,3.0,5.0
Northeast,Leisure,25-34,Winter,101.9,0.345,0.348,68.34,4.12,4.16,3.53,3.6,3.36,41.8,40.4,3.17,5.0
Midwest,Business,25-34,Summer,220.8,0.868,0.099,109.0,4.76,3.56,4.32,4.91,2.97,29.6,27.7,3.72,5.0
Northeast,Leisure,45-54,Winter,391.7,0.4,0.5,119.38,3.82,4.25,4.75,3.23,3.07,48.3,54.9,2.42,5.0
Midwest,Leisure,65+,Fall,364.7,1.0,0.266,119.84,3.99,3.78,3.48,3.6,2.79,5.8,10.0,4.8,5.0
West,Business,25-34,Spring,142.9,1.0,0.36,85.76,3.72,3.66,3.61,3.43,4.17,18.9,18.6,4.35,5.0
Southeast,Business,55-64,Spring,113.7,0.579,0.641,67.47,2.84,4.2,3.7,2.49,1.68,49.8,43.8,2.63,5.0
Northeast,Commuter,25-34,Fall,129.7,0.92,0.055,70.04,3.64,3.45,3.59,3.93,2.79,0.0,1.1,4.85,5.0
Southeast,Leisure,55-64,Fall,366.9,0.645,0.717,123.02,3.63,3.95,3.29,3.15,4.01,61.9,70.9,1.87,5.0
Southeast,Business,45-54,Spring,128.3,0.377,0.635,54.55,4.59,4.19,3.53,2.04,2.85,44.1,42.7,3.13,5.0
Southwest,Leisure,25-34,Fall,496.1,0.529,0.26,151.63,,5.0,3.11,4.17,2.96,63.2,71.4,1.67,5.0
Midwest,Leisure,55-64,Summer,281.4,0.361,0.406,101.26,3.54,4.16,4.12,2.74,3.89,49.5,53.2,2.8,5.0
West,Business,55-64,Summer,205.7,0.936,0.422,94.51,4.86,3.19,4.81,3.7,3.56,22.3,26.8,3.66,5.0
Southwest,Leisure,35-44,Fall,141.4,0.408,0.362,67.11,3.27,3.02,3.42,3.52,3.8,28.1,37.6,3.3,5.0
Midwest,Business,25-34,Summer,222.7,0.657,0.053,78.69,4.36,4.96,4.86,3.53,4.16,25.9,31.2,3.58,5.0
West,Leisure,25-34,Summer,101.4,1.0,0.0,52.79,5.0,3.72,3.72,,1.86,0.0,0.0,5.0,5.0
Northeast,Leisure,65+,Summer,74.4,0.318,0.492,55.24,3.32,2.85,3.11,4.29,2.61,30.5,31.5,3.5,5.0
Northeast,Commuter,45-54,Summer,283.0,0.538,0.46,115.97,,3.27,4.14,2.69,2.32,20.4,27.5,3.83,5.0
Northeast,Leisure,55-64,Fall,205.2,0.582,1.0,83.69,,4.37,3.03,1.27,,43.5,42.7,2.95,5.0
Southwest,Business,45-54,Summer,327.1,0.446,0.43,123.26,3.81,3.89,4.07,3.91,3.97,40.0,42.9,3.12,5.0
Midwest,Leisure,55-64,Spring,249.4,0.64,0.108,100.43,3.84,4.31,3.87,4.0,1.0,22.2,23.4,3.86,5.0
Northeast,Commuter,25-34,Winter,139.9,0.621,0.117,73.03,4.03,3.89,3.4,2.38,1.65,3.2,5.2,4.97,5.0
Midwest,Leisure,35-44,Fall,364.4,0.411,0.448,133.44,3.6,3.14,3.27,3.22,1.16,31.8,37.6,3.27,5.0
Northeast,Leisure,45-54,Spring,150.8,0.623,0.728,67.38,3.66,2.84,3.08,4.14,2.29,47.8,44.0,3.04,5.0
Southwest,Business,25-34,Spring,423.5,1.0,0.314,137.75,,3.6,4.52,4.6,3.17,5.0,11.2,4.66,5.0
Midwest,Leisure,25-34,Fall,147.8,0.739,0.503,87.1,4.25,4.04,3.57,3.84,4.53,7.0,9.8,4.59,5.0
Southeast,Leisure,45-54,Winter,83.4,0.2,0.723,57.76,2.58,2.99,3.78,3.77,1.79,42.3,48.2,2.95,5.0
Southeast,Commuter,55-64,Winter,467.1,0.735,0.552,125.29,3.43,4.56,3.71,,5.0,67.9,72.0,1.58,5.0
Southwest,Business,45-54,Summer,144.5,0.478,0.843,55.4,2.73,3.24,3.49,3.1,3.49,40.9,40.1,3.28,5.0
Southeast,Business,18-24,Fall,151.1,1.0,0.187,99.13,4.65,3.11,4.03,2.61,3.63,21.8,20.2,4.06,5.0
Northeast,Business,65+,Fall,86.0,0.479,0.577,65.29,3.62,3.84,4.0,3.02,3.66,26.3,21.5,4.16,5.0
Northeast,Commuter,25-34,Fall,195.0,0.815,0.119,88.8,4.34,4.46,3.84,4.31,1.81,16.4,9.7,4.63,5.0
West,Commuter,25-34,Fall,93.8,0.542,0.0,45.86,4.41,4.77,3.53,4.21,2.49,19.2,22.8,4.05,5.0
West,Business,65+,Summer,451.6,0.857,0.475,148.8,3.96,3.06,3.0,3.56,2.17,28.5,38.0,3.39,5.0
Southwest,Leisure,55-64,Fall,165.8,1.0,0.548,69.11,3.82,4.95,3.38,3.18,3.7,17.9,22.9,4.13,5.0
Southeast,Leisure,65+,Spring,115.2,0.687,0.0,65.13,3.37,4.05,3.49,4.76,2.24,1.1,4.4,4.49,5.0
West,Business,55-64,Summer,216.0,0.754,0.82,91.16,4.39,3.6,3.74,3.42,2.87,42.9,45.4,2.84,5.0
West,Commuter,45-54,Winter,675.1,0.561,0.429,193.04,4.08,4.29,2.45,3.79,2.42,44.5,55.4,2.5,5.0
Southwest,Business,25-34,Summer,222.0,0.933,0.545,93.05,5.0,4.88,4.21,2.45,4.38,9.8,18.5,3.99,5.0
