Plant,Machine Type,Shift,Ambient Temperature (C),Humidity (%),Machine Age (Years),Maintenance Quality Index,Lubrication Interval (Days),Operator Training Hours (Monthly),Spare Parts Availability Index,Production Target Pressure Index,Fatigue Index,Procedure Compliance Index,Wear Index,Cooling Efficiency Index,Vibration RMS,Defect Rate Index,Failure Risk (0-1),Repair Duration (Hours),Unplanned Downtime Hours (Next 30d)
Plant C,Press,Swing,24.59359877766524,72.40626880157126,13.237175925649257,-0.333207492714508,12.615923749114264,7.112126284993177,,0.2788429821317077,0.1724858878781195,-0.06712190471108759,4.695172337434776,0.6778307372063299,0.5179609043713097,0.4576401841196752,0.8037267938274998,14.487558135228666,23.28567096353847
Plant B,CNC,Day,18.90836650813528,64.24279808588483,6.2224924820176,0.034005588082296576,10.317693514686106,9.953869132174837,0.8143140719370461,,0.10885546002327098,0.5127287325822218,2.467614442745552,1.1083357477295732,0.9033708328740488,-0.09623965990912697,0.6955501365288221,10.878645573374078,20.458619990778665
Plant C,Press,Day,33.76032935023555,54.42477956847284,5.294389032441251,0.9442641632988408,16.78919167773512,5.34320473936462,-0.7526340088883788,0.581198771551311,0.47734904881738544,0.09036168830270776,2.9552469254815756,0.827167934481299,-0.1116958027739762,0.8624424256358553,0.6933127017214473,16.8287629823401,31.671414774937332
Plant B,CNC,Night,34.243488632837895,43.28042961095772,7.049815602545409,-1.1022146017913539,10.358396818160339,9.555417986160531,0.27738408247636104,0.7210135502823911,1.8076527669401323,-0.45154324852387734,2.710065175359572,0.6458301353177542,0.01988252496133297,0.6974586488523137,0.29499081071561123,8.290793635632685,20.037368771861818
Plant A,CNC,Day,13.630646275882723,49.080019066908214,4.960030977102033,-0.10255021836669004,22.239396944362426,7.992403975666729,-0.0076707710130198324,-1.6122535559064672,-0.5116470065165291,1.5060643608723647,1.8391568998076473,1.3650537826555125,0.8266022219660495,-1.670340573085466,0.6492060620516044,10.07766587197684,16.98371771733394
Plant C,Press,Day,24.883921936729124,69.45787846406216,10.193343298059332,0.9068023437867944,11.992023524722788,1.880430130433691,0.975386452303476,-1.1881879263824349,0.18515893934263597,0.28829441646177506,0.7042252719066417,0.9543210951538288,-2.551320906976329,-0.3345090620004637,0.15075651570881696,5.190799015393399,6.3775479621726685
Plant C,Press,Day,27.52831277365368,63.18502785771939,5.76049567016888,-0.2130339531881631,17.19272300156325,4.3376325480966695,0.00841558265142677,2.0098291074861487,0.4019769480954787,-0.20772483553797552,2.128259611242148,0.8495515721497074,1.2230818859788453,1.0861634265430637,0.6840559576737245,13.819217270451066,28.02096445379746
Plant C,Conveyor,Night,27.208524041589076,52.76000056746792,10.918714133009832,-0.48307407168024363,12.043417373146246,9.237804653897944,-2.5,-0.3316973366099439,1.9127789348003703,-0.6186632089223606,5.175052268116833,1.0369182930940646,1.1977491787408059,-0.09548175925564817,0.8029306096938678,24.92908998200062,45.28003877209547
Plant A,Press,Swing,31.577648041392166,76.19875833394535,9.637850079944263,1.1152280869092426,19.35048601190537,4.313211488701505,-0.9344485818612497,-0.3082076541651363,0.8015545100067001,1.2198814753980098,2.7826888763802913,0.24768412596600248,-0.02142688814057553,-0.44045398997371893,0.7819080076571248,18.5612319968222,34.77752747461626
Plant B,Conveyor,Swing,30.538163537573073,53.11334456331026,11.012299824828162,1.4011154955258893,19.198036572459017,8.45732002344177,-1.4997472190375742,-0.03495207361038157,0.5769248692843129,-0.4759679602973741,4.346716209087697,0.7276759422107899,0.9391337675442727,-0.15444197884417954,0.8019316688301752,15.482184139122285,29.69458357783514
Plant A,Press,Night,26.32593678158591,66.8502155287739,1.730074144506613,1.5601332405589254,12.704936117712684,4.769552192859537,1.9271964587643122,-0.6408254918268643,1.0200323547465444,-1.2174019602159016,0.7264699127163576,0.946194218525874,-0.7524067495113052,0.5868525541249857,0.33018828209867884,7.161860454858545,15.905615072909178
Plant C,Press,Day,35.38551806205818,57.64046856744081,3.7255478685936474,-0.6749913099880899,15.098797622682145,8.163765789318468,1.4145781216710902,-1.7725331912484124,0.5276877869920498,-0.36578154357382614,0.27916552295299824,0.692546102058611,0.18057990012693959,-0.5660309667211367,0.6618107830313509,14.06997179406126,18.630245460594473
Plant B,,Night,29.684232613537887,78.195436449073,11.878017873442147,-0.5793160003287822,19.095830581081668,7.287313432499774,-2.150383158935198,-1.122244664307587,1.619879114853252,-0.30977421363796653,4.3268435918552735,0.657713007599729,1.4808923684123556,-0.4580697212017011,0.7641190311228957,19.905838931766517,29.525002842923925
Plant C,Press,Day,22.24292752411039,64.03654584473593,6.841437056864374,-0.47157999073088963,15.217319581500547,5.255123547006194,-1.0105417661915652,-0.6389547727934649,-0.22291181317015057,1.0700745652246415,1.8256327271063717,1.0039543285811012,0.27988923906277785,-0.20323175850000413,0.4967694683898588,13.788111514908865,19.873918907414346
Plant B,CNC,Day,,55.55391377455674,3.6008517443302956,0.718520585314237,10.31709732580185,8.07916502151121,-1.3849337800590147,-0.502973034516791,-0.3672219200842666,0.7283412553817092,0.6411502203018771,1.2679245430439912,-0.7372473263638669,-0.12111152110762807,0.2351684763235463,11.948355966261653,15.95866995461292
Plant A,CNC,Day,30.21670751486804,52.854382254797926,7.39190478034236,-1.1967978089020488,14.280263912711353,0.0,0.21644109936854988,-0.76940354517067,1.2352646057586492,-1.0231486220968171,1.8903978601822042,0.7621455168344778,0.9873393477278742,0.20890703413733333,0.8876001884756431,17.47415281037249,38.00433002809313
Plant B,CNC,Night,21.03522886734779,54.81552998725384,8.727037241392164,-1.140336304555083,11.007109922434807,,-0.9558974056883764,-1.4919017047321326,0.3603303073338976,-0.3914572021404654,1.8103832762443273,1.0869388451375208,0.047413100213111625,0.3247423300484519,0.4404730558438126,10.535076645204134,19.28667214528123
Plant A,Conveyor,Night,22.951308602707613,46.2952327462919,7.525956441728337,-0.714338102016471,14.603979162431921,4.609115381378386,-0.2654838441877799,-0.5535378647227029,1.2107935153659453,-1.2703412084229457,1.490316241453151,0.9185074361261305,0.5379573096705845,0.8767932148629993,0.7065525090002471,12.904137143912862,25.47666078992372
Plant C,Press,Swing,22.80214054272576,38.599562349536605,10.404042439478433,-0.9382225372182782,10.850109362443261,9.518107064214355,-1.3771935411164837,1.115259797448227,0.5305599369832084,1.1476230285122808,3.479399096734979,1.4182441974765077,-0.3638166874816441,0.20679857860592302,0.7497847257835042,19.247633132248325,32.15397943249294
Plant B,Conveyor,Day,25.77826696638075,58.70482468131014,8.997500558149952,0.8843603051246332,15.49122254402418,1.6614779496251115,0.4303170697209091,-0.6719258971017847,0.1821389272329128,-0.09423606955329061,3.044974535181093,1.020624119711018,-0.598275570954691,-0.21876674159288026,0.3186923437978346,7.410996088294114,13.334305183055429
Plant C,Conveyor,Day,23.032708185192092,48.59777783962749,8.840454030287962,0.8169719737921174,6.844832781143053,5.895932993361547,,-0.1823066269480386,-0.5200683830261534,0.836027693173052,2.6667754726702904,1.321426766643847,-1.6402335662217031,-0.1895404455265936,0.0990567146714379,9.318177183732564,11.553055525418698
Plant A,,Day,17.415145517599306,48.56589738825535,12.045112964533548,,9.512077515876523,6.952297612893809,2.5,1.4438483401483857,0.8860827025079878,0.3814601292938622,4.1294298229447035,1.061002366960349,0.6805777075086206,0.08086184434817506,0.9275937012565242,6.715902074890216,25.07617238404167
,,Day,29.810398689953818,53.93391716143176,7.957459020162578,-0.19386671229313573,10.827105398493849,6.7426272085178,1.5043426682662548,-0.6873940565484972,0.24489775310798173,1.018457666108454,5.177732416338198,0.8559103564570254,0.20755944938715443,-0.6859966825475099,0.7049915243611302,8.049154917823811,21.68996044521724
Plant C,Conveyor,Day,21.978006756074425,55.62668126076722,7.869259242426112,-2.5,13.359143644217855,5.704237953059109,2.4816758698492785,2.5,-0.26671449971977185,0.4463917322740229,4.101053223499388,0.8759372604359726,1.0136988278947534,1.251103079654372,0.8086871411095677,8.492929525666423,24.689258895605377
Plant C,Conveyor,Swing,34.09967634399746,55.08851213901887,,-0.4574276729451512,7.951672550152295,4.138248339128051,0.6063895740561334,0.8919598409083537,0.17111776582300864,-0.26906929324449175,2.2129059434833183,0.9599833336429577,-0.16685501130540964,0.9228015359712761,0.5774979668335452,15.36287745101272,33.25564029990889
Plant A,Conveyor,Swing,25.519950036299196,75.8595442217014,9.657979123119363,1.243953509563246,10.46617410557075,5.259988316403918,1.556991565950399,0.0772618270902363,-0.35874021190880356,0.5726412076998058,3.6497856002942637,1.1545568994801216,-0.9699415843397526,-0.5778833965071146,0.4970426989555869,9.848168806686484,16.19753300915869
Plant B,CNC,Night,31.336037422010797,62.94855361493683,5.29142527220362,-0.5118199551739154,17.112484110402512,8.924295916357028,0.8927859050393163,-0.24805851136809923,1.4017395972527402,-0.2821862359321923,2.079687346485313,0.9885099675673562,0.6541633133545682,0.6218396139884514,0.5239667631859378,9.079642944323506,22.351072545639965
Plant A,CNC,Swing,27.154307570903963,80.2937869399635,7.723658758743712,-1.092510334774032,17.588660196092032,3.935088339123471,-1.004479341341139,1.3420887746399535,0.1595815651170161,-0.09919018798077822,6.547462083647993,0.48456763261859526,2.2315694151170646,-0.08132223621807677,0.9357026973300138,19.163796724809316,32.713621548855315
Plant A,Conveyor,Day,30.57528135728313,49.73211556162581,9.314687295038581,1.3762250856794112,3.8655009701566563,0.0,-0.37225949241221135,-0.6931922220748784,0.09001361361604779,-0.6851379912678902,3.424888472713227,0.6819786398129679,-0.04039690091504489,0.12173795391499384,0.7309076547150948,14.59230755114228,25.960545095479556
Plant B,CNC,Swing,26.85169498132216,64.40464771753894,6.239515579294034,-1.114480191238373,11.653017460519742,7.398521714956847,0.4240479028495152,-0.4326924813493246,0.24458912413653758,0.565685421141166,4.181957284254356,0.9058607363517397,0.6218300804427151,0.11314636917628773,0.8927363379837733,13.483172502343121,33.86282349902606
Plant B,CNC,Day,,50.399049512441735,6.382473632016478,1.5460602142163689,19.099344652910034,10.48752273453039,1.1522203872279186,1.6072753138481193,0.25039994931188636,1.2465346143814657,2.233135445400302,1.1316239555873884,-0.3418128598016381,-0.5203681645966354,0.6888945795184819,10.08372593582953,24.53680743864294
Plant C,Press,Swing,29.466170459282583,48.2664177049013,4.825624504353538,2.5,,2.846348987990154,-0.006594117745214877,-0.3755118400901018,0.7198001672695229,0.6432388218979441,0.8678575953005968,0.9813189918536547,-2.19955550838256,-0.17074809433141264,0.15763556408931811,8.448479281244035,15.65904780154332
Plant A,CNC,Swing,36.429860572960266,80.74651151687644,1.0,-0.10937728020825538,15.629395292099321,10.082252431405344,0.5545986278644771,-0.4666880413706303,1.0737234516843805,-0.3166807761008447,-0.9232662946318377,0.4408330737289645,-0.9459948814029906,0.24549813379999127,0.4995012931448472,7.0646591993891885,21.131782223353156
Plant A,CNC,Day,22.651015306975623,45.782220767256206,6.877764074854799,1.2437782197196598,16.256588548558643,7.562001996174687,-0.33265600565805337,-0.6624096763835309,0.27562074969301253,1.2433087168017802,3.1243155269954004,1.1352718627694487,0.6069400530131857,-0.26855952181977427,0.4749444672635699,11.641581605508385,14.481743696880814
Plant B,Conveyor,Day,27.97463493862507,28.21919196132894,8.381857393411675,-1.668933778376113,10.164278360791632,2.5309041131908554,-0.41240026167333954,-1.9323723880575374,-0.16715499350194668,-0.2728440623697001,1.5345950304419351,1.2144185281154853,0.7250240057471742,-0.768673302177097,0.6855448428409354,12.287360957153066,25.534092450855535
Plant A,,Night,24.97377538744926,46.50460829002175,4.713757438595503,-1.71294142172579,14.85612209940628,3.8888100586214653,-1.4715394319789261,1.0148319624955318,0.3905488211907714,0.11249756601979026,1.2556689933898117,0.9325949521657215,1.7187122524646976,0.7168794655558017,0.5739282448485805,14.383830887646502,27.97425010539708
Plant A,Conveyor,Swing,26.53029510246517,30.900116059031546,12.133616434853291,-0.7967274713375441,15.886935292381509,3.7573907700588105,0.4426983390910839,-0.04298840377632666,0.416520230590039,,4.750183452410383,1.2667793692563971,0.024438544268942985,,0.8092914277733226,13.906190469279649,24.67789327603782
Plant B,CNC,Swing,24.21079278788267,43.584105987137974,4.85989947681087,0.8224198952736091,14.428320248890051,6.507091384776273,-0.4921672961077594,1.069656377073624,,0.3638017610981053,1.6418591074969096,0.8510049472980299,-0.3478700472057793,-0.0016962122263485258,0.5503971488671141,9.54757364846866,18.303340133474805
Plant A,CNC,Swing,13.211285571447984,44.696010149799754,10.73759167185827,0.0017440570753952179,12.425468246573244,5.456153318271721,-1.2848868330732035,-0.16889205533984267,0.11964497975500063,1.016128188380727,3.8674969712444884,1.441633526134994,-0.947863171791725,-0.6128012987665596,0.6591159694136265,13.57891914040918,21.403425988422814
Plant B,CNC,Swing,22.999066411309116,55.423381178218605,9.256010115147175,-0.18640178380653927,13.807655207080195,9.316704531867314,-0.5929195096630172,-0.4220833796808355,-0.3777486903010464,0.3664240589759157,1.877026386451418,1.1599095313968995,-1.2415257860258648,-0.4077506691454344,0.21255712010729477,9.586311218343301,14.915562610230412
Plant B,Press,Day,,30.404840472635367,15.529006176172155,-1.290835734281498,9.439421575762639,,0.2852890868983735,-0.6634245224436933,0.17292729805589777,0.4033114899936403,2.9356634293033523,1.162782887204265,-0.1714135110192309,0.18438558277601275,0.4145712010397347,7.060628413457719,19.35106308107882
Plant C,CNC,,21.173966883657148,69.35142671297358,9.61951796827126,-0.12734992682443913,16.456626659894862,1.3641306580333659,0.6680986781063193,0.6839734115843915,0.4149889181562468,-0.25504532869173163,4.822795248980992,1.0634235495366833,1.8050838299298284,1.5967372579305303,0.9620501805477171,14.161882689917398,36.137380353817136
Plant B,,Night,29.604732215357714,32.49076883910501,4.661171807656697,-0.6436118208408672,8.258661391326257,1.7431187772232573,-0.1844573395842115,-0.8042047012297757,1.0769952574636847,0.04541753795009462,2.6390600483809736,1.3046894190969964,-0.5835960492840683,-0.15308360138785734,0.47051788170641207,12.873827447209058,16.125937272046144
